roster_date,RFP_Key,RFP_Name,RFP_Type,RFP_Group,RFP_Location,Name,Address,City,State,Zip,Phone,RFP_Primary,program_flag,program_date,active_quarters,base_active_quarters,SAP,Location_EndDate,Location_StartDate,Eligibility_EndDate,Eligibility_StartDate,Startdate,Enddate
09/24/2024,SCG897912,EYEB,ACUALL,59737632.0,6837825.0,Thomas-White,5822 Bryant Groves,West Elizabeth,Wyoming,13028,317.291.8927x36328,1,Pref_RRPE,,,3,6105994.0,04/11/2262,07/01/2024,04/11/2262,07/01/2024,10/01/2024,12/31/2024
09/24/2024,SCG791684,ACUALL,PE,3973876.0,6105994.0,Anthony PLC,4886 Pamela Trail,West Emilyshire,Idaho,01793,+1-672-542-6839x6826,0,Preferred,,,1,7127336.0,04/11/2262,07/01/2024,04/11/2262,07/01/2024,10/01/2024,12/31/2024
09/24/2024,SCG701997,MANN,PE,27901506.0,6279402.0,Fletcher-Campos,3711 Zachary Way,Karafurt,Nevada,64774,272-916-2056,0,Preferred,,,1,7205923.0,04/11/2262,07/01/2024,04/11/2262,07/01/2024,10/01/2024,12/31/2024
09/24/2024,SCG475287,EEC,Regional Retailer,13977494.0,8070714.0,Nunez Ltd,69745 Johnson Way Apt. 545,East Alexton,Virginia,73413,478-372-1375,0,Pref_RRPE,,,3,6105994.0,04/11/2262,07/01/2024,04/11/2262,07/01/2024,10/01/2024,12/31/2024
09/24/2024,SCG989459,HAL,ACUALL,58678030.0,6105994.0,Taylor-Wallace,1284 Tanner Walks,East Justin,Louisiana,84261,+1-911-666-6594x37647,0,Preferred,,,1,6789065.0,04/11/2262,07/01/2024,04/11/2262,07/01/2024,10/01/2024,12/31/2024
09/24/2024,SCG912169,TREND,GPO,71411913.0,6442197.0,"Stone, Jones and Gonzales",897 Stone Stream,Jamesburgh,Kansas,72501,481-434-4891,0,Preferred,,,1,6659321.0,04/11/2262,07/01/2024,04/11/2262,07/01/2024,10/01/2024,12/31/2024
09/24/2024,SCG489888,CLARIS,PE,1.0,6895519.0,"Anthony, Brown and Wilcox",316 Joseph Pass Suite 831,Brandonfort,Washington,52565,001-939-263-2095x20834,0,Pref_RRPE,,,1,7222733.0,04/11/2262,07/01/2024,04/11/2262,07/01/2024,10/01/2024,12/31/2024
09/24/2024,SCG875451,MWEC,Regional Retailer,10400970.0,6105994.0,"Foster, Smith and Fisher",9297 Ward Walk Apt. 203,South Jacob,Montana,81270,001-613-569-6603,0,Pref_RRPE,,,1,8291386.0,04/11/2262,07/01/2024,04/11/2262,07/01/2024,10/01/2024,12/31/2024
09/24/2024,SCG063712,ECP,Lease Franchise,1.0,7909241.0,"Melton, Fischer and Cameron",55365 Lyons Junctions,North Sara,Illinois,87214,(349)545-1155x286,1,Preferred,,,3,10279804.0,04/11/2262,07/01/2024,04/11/2262,07/01/2024,10/01/2024,12/31/2024
09/24/2024,SCG698670,WISC,ACUALL,118010377.0,6105994.0,"Sims, Perry and Roberts",7793 Perry Centers Apt. 589,East Patrick,Minnesota,38649,234-835-8828x1366,0,Preferred,07/23/2020,7.0,3,6105994.0,04/11/2262,07/01/2024,04/11/2262,07/01/2024,07/01/2024,12/31/2024
09/24/2024,SCG047041,OMG,ACUALL,1.0,6467351.0,Kent-Hobbs,71703 Garrett Springs,Kristenborough,Pennsylvania,92820,727.413.0217,0,Preferred,,,3,6543463.0,04/11/2262,07/01/2024,04/11/2262,07/01/2024,10/01/2024,12/31/2024
09/24/2024,SCG353605,ACUALL,GPO,33721103.0,6658982.0,"Flynn, Tran and Butler",1414 Elizabeth Motorway,Josephshire,Utah,50796,(421)413-7792,1,Pref_RRPE,,,3,8603066.0,04/11/2262,07/01/2024,04/11/2262,07/01/2024,10/01/2024,12/31/2024
09/24/2024,SCG388278,ABB,GPO,22269937.0,6479610.0,Craig Ltd,401 Cassandra Station Suite 945,West Keithtown,New Mexico,79647,609-610-1069x27327,0,Pref_RRPE,06/24/2020,7.0,3,6105994.0,04/11/2262,07/01/2024,04/11/2262,07/01/2024,07/01/2024,12/31/2024
09/24/2024,SCG214675,myAPP,Lease Franchise,34148873.0,6105994.0,"Petty, Jackson and Adkins",63064 Smith Corner,Wallsmouth,Louisiana,95719,692-992-5842x627,1,Pref_RRPE,12/06/2021,7.0,3,9570156.0,04/11/2262,07/01/2024,04/11/2262,07/01/2024,07/01/2024,12/31/2024
09/24/2024,SCG598038,STER,Regional Retailer,3105405.0,6105994.0,"Holt, Barton and Collins",15742 Kim Fort Apt. 710,West Katherine,Illinois,90740,(532)558-3491,1,Pref_RRPE,,,3,7307374.0,04/11/2262,07/01/2024,04/11/2262,07/01/2024,10/01/2024,12/31/2024
09/24/2024,SCG816664,EEC,GPO,1.0,6305509.0,"Smith, Morgan and Perez",84301 Rodriguez Isle Suite 803,New Amber,California,62520,834-386-9112,1,Preferred,,,3,8707018.0,04/11/2262,07/01/2024,04/11/2262,07/01/2024,10/01/2024,12/31/2024
09/24/2024,SCG854177,EGW,GPO,60593851.0,6105994.0,Baker LLC,3962 Lambert Mill,Yorkside,Kentucky,91179,272-235-4988,0,Preferred,,,3,6674795.0,04/11/2262,07/01/2024,04/11/2262,07/01/2024,10/01/2024,12/31/2024
