roster_date,RFP_Key,rfp_type_random,rfp_name_random,rfp_location,Name,Address,city,State,Zip,Phone,rfp_primary,program_flag,program_date,active_quarters,base_active_quarters,sap,location_enddate,location_startdate,eligibility_enddate,eligibility_startdate,startdate,enddate
10/2/2024,SCG208815,myAPP,myAPP,47409,Campbell Ltd,34768 Stephen Square,Littleton,West Virginia,45273,9832348254,0,Preferred,9/8/2022,7,3,28685,4/11/2262,7/1/2024,4/11/2262,7/1/2024,7/1/2024,12/31/2024
10/2/2024,SCG353145,myAPP,myAPP,47409,Ferguson PLC,8886 Buchanan Pass,Littleton,Arkansas,4223,840-946-4939x81667,0,Preferred,9/8/2022,7,3,28685,4/11/2262,7/1/2024,4/11/2262,7/1/2024,7/1/2024,12/31/2024
10/2/2024,SCG562310,myAPP,myAPP,34098,"Singh, Clark and Kramer",80722 Roger Spur Apt. 719,Greenville,Louisiana,19546,(586)420-8074,0,,,,1,36384,4/11/2262,7/1/2024,4/11/2262,7/1/2024,10/1/2024,12/31/2024
10/2/2024,SCG191986,myAPP,myAPP,31994,Ramos-Sullivan,07811 Andrea Inlet Apt. 646,Pittsburgh,Georgia,2331,603-731-4766,0,,,,3,31994,4/11/2262,7/1/2024,4/11/2262,7/1/2024,10/1/2024,12/31/2024
10/2/2024,SCG627730,GPO,ACUALL,44348,"Carson, Kim and Watkins",0152 Walters Valley Suite 312,Loganville,Maine,15598,(747)652-6307x06202,0,Preferred,9/15/2020,7,3,44348,4/11/2262,7/1/2024,4/11/2262,7/1/2024,7/1/2024,12/31/2024
10/2/2024,SCG693438,GPO,ACUALL,44348,Lopez-Berg,035 Jamie Mill,Loganville,Kentucky,91942,+1-897-330-2275x80703,0,Preferred,9/15/2020,7,3,44348,4/11/2262,7/1/2024,4/11/2262,7/1/2024,7/1/2024,12/31/2024
10/2/2024,SCG109741,GPO,ACUALL,44348,Ferguson Ltd,81836 Jose Creek Suite 730,Loganville,Maryland,83074,(497)355-5476,0,Preferred,9/15/2020,7,3,44348,4/11/2262,7/1/2024,4/11/2262,7/1/2024,7/1/2024,12/31/2024
10/2/2024,SCG641745,GPO,ACUALL,44348,Martinez-Khan,5316 Mejia Stream,Loganville,Alabama,19039,+1-876-202-2753x860,0,Preferred,9/15/2020,7,3,44348,4/11/2262,7/1/2024,4/11/2262,7/1/2024,7/1/2024,12/31/2024
10/2/2024,SCG887393,GPO,ACUALL,44348,"Shaw, Smith and Barker",9169 Vicki Hills Suite 273,Loganville,Mississippi,3834,(826)391-3656,0,Preferred,9/15/2020,7,3,44348,4/11/2262,7/1/2024,4/11/2262,7/1/2024,7/1/2024,12/31/2024
10/2/2024,SCG994396,myAPP,ACUALL,8004,"Mcgrath, Arroyo and Ball",28117 Emily Lane Apt. 243,Roseville,Texas,41049,001-861-869-7735,0,,,,1,46006,4/11/2262,7/1/2024,4/11/2262,7/1/2024,10/1/2024,12/31/2024
10/2/2024,SCG407108,myAPP,ACUALL,8004,Fernandez Inc,68902 Thomas Club Apt. 762,Roseville,California,34200,406-641-5922,0,,,,1,46006,4/11/2262,7/1/2024,4/11/2262,7/1/2024,10/1/2024,12/31/2024
10/2/2024,SCG558159,ACUALL,myAPP,41906,"Miller, English and Jenkins",58013 Cheryl Port,Simpsonville,Delaware,15418,(817)621-9255x3030,1,,,,3,41906,4/11/2262,7/1/2024,4/11/2262,7/1/2024,10/1/2024,12/31/2024
10/2/2024,SCG227089,ACUALL,myAPP,41906,Andrews Group,939 Cummings Ways,Simpsonville,Florida,37427,8413391010,1,,,,3,41906,4/11/2262,7/1/2024,4/11/2262,7/1/2024,10/1/2024,12/31/2024
10/2/2024,SCG517997,ACUALL,myAPP,42446,Wise Inc,750 Gallegos Parkways,Lewiston,Florida,26013,+1-466-756-8256x87192,1,,,,3,42446,4/11/2262,7/1/2024,4/11/2262,7/1/2024,10/1/2024,12/31/2024
10/2/2024,SCG412301,ACUALL,myAPP,42446,Jones Inc,12270 Moore Spurs,Lewiston,Arizona,6734,(405)279-8373x506,1,,,,3,42446,4/11/2262,7/1/2024,4/11/2262,7/1/2024,10/1/2024,12/31/2024
10/2/2024,SCG261250,ACUALL,myAPP,42446,"Davis, Davis and Schmitt",217 Herrera Dale,Lewiston,Kansas,50316,351.562.1549,1,,,,3,42446,4/11/2262,7/1/2024,4/11/2262,7/1/2024,10/1/2024,12/31/2024
10/2/2024,SCG454595,ACUALL,myAPP,42446,Hicks-Atkinson,2721 Jennifer Mews Apt. 437,Lewiston,Rhode Island,50223,358-293-1191x09713,1,,,,3,42446,4/11/2262,7/1/2024,4/11/2262,7/1/2024,10/1/2024,12/31/2024
10/2/2024,SCG894329,ACUALL,myAPP,42446,Cook-Hoffman,165 Sean Passage,Lewiston,Maryland,65358,+1-978-957-1129x21769,1,,,,3,42446,4/11/2262,7/1/2024,4/11/2262,7/1/2024,10/1/2024,12/31/2024
10/2/2024,SCG116734,ACUALL,myAPP,42446,Garner LLC,49291 Cristina Club,Lewiston,Massachusetts,78305,+1-295-534-0741x274,1,,,,3,42446,4/11/2262,7/1/2024,4/11/2262,7/1/2024,10/1/2024,12/31/2024
10/2/2024,SCG569337,ACUALL,myAPP,42446,Reed and Sons,94190 Miller Passage Suite 922,Lewiston,Arkansas,24519,+1-852-944-4128x791,1,,,,3,42446,4/11/2262,7/1/2024,4/11/2262,7/1/2024,10/1/2024,12/31/2024
10/2/2024,SCG178986,ACUALL,myAPP,42446,Torres Group,27558 Evans Valleys Apt. 783,Lewiston,Rhode Island,4203,572-546-1961x948,1,,,,3,42446,4/11/2262,7/1/2024,4/11/2262,7/1/2024,10/1/2024,12/31/2024
10/2/2024,SCG126947,ACUALL,myAPP,42446,"Ray, Becker and Watkins",47064 Brittany Ports,Lewiston,Illinois,35704,227-891-2369x43730,1,,,,3,42446,4/11/2262,7/1/2024,4/11/2262,7/1/2024,10/1/2024,12/31/2024
10/2/2024,SCG466100,ACUALL,myAPP,42446,Nichols and Sons,758 Michelle Hill,Lewiston,Arizona,21177,+1-507-742-7379x8041,1,,,,3,42446,4/11/2262,7/1/2024,4/11/2262,7/1/2024,10/1/2024,12/31/2024
10/2/2024,SCG115816,ACUALL,myAPP,42446,"Weber, Rogers and Zamora",992 Mccoy Court Apt. 855,Lewiston,Rhode Island,79218,643-327-9386x0901,1,,,,3,42446,4/11/2262,7/1/2024,4/11/2262,7/1/2024,10/1/2024,12/31/2024
10/2/2024,SCG348854,ACUALL,myAPP,38049,"Davis, Taylor and Hinton",44091 Courtney Square,Russellville,Arizona,4620,892-618-9944x03009,1,Preferred,7/16/2020,7,3,38049,4/11/2262,7/1/2024,4/11/2262,7/1/2024,7/1/2024,12/31/2024
10/2/2024,SCG352815,ACUALL,myAPP,38049,Smith-Williams,8282 Anita Grove Apt. 539,Russellville,Ohio,39283,218.595.3877x65094,1,Preferred,7/16/2020,7,3,38049,4/11/2262,7/1/2024,4/11/2262,7/1/2024,7/1/2024,12/31/2024
10/2/2024,SCG393254,ACUALL,myAPP,38049,Barrett-Freeman,688 Krista Spur Suite 821,Russellville,New Mexico,65930,497.394.0307,1,Preferred,7/16/2020,7,3,38049,4/11/2262,7/1/2024,4/11/2262,7/1/2024,7/1/2024,12/31/2024
10/2/2024,SCG464100,ACUALL,myAPP,38049,"Walls, Davis and Potts",52857 Garza Canyon,Russellville,Alaska,17250,-3135,1,Preferred,7/16/2020,7,3,38049,4/11/2262,7/1/2024,4/11/2262,7/1/2024,7/1/2024,12/31/2024
10/2/2024,SCG864462,ACUALL,myAPP,38049,Hawkins-Cline,4216 Richardson Forest Suite 712,Russellville,Oklahoma,37408,(534)607-4653x423,1,Preferred,7/16/2020,7,3,38049,4/11/2262,7/1/2024,4/11/2262,7/1/2024,7/1/2024,12/31/2024
10/2/2024,SCG503359,PE,ABB,30776,"Sanchez, Moore and Thompson",9502 Matthew Forest,Loveland,Delaware,36124,8299933803,0,,,,3,30776,4/11/2262,7/1/2024,4/11/2262,7/1/2024,10/1/2024,12/31/2024
10/2/2024,SCG576740,PE,ABB,30776,"Nguyen, Hale and Hill",9537 Frank Haven,Loveland,Kansas,70831,428-482-7544,0,,,,3,30776,4/11/2262,7/1/2024,4/11/2262,7/1/2024,10/1/2024,12/31/2024
10/2/2024,SCG503359,PE,myAPP,26860,"Sanchez, Moore and Thompson",9502 Matthew Forest,Loveland,Delaware,36124,8299933803,0,,,,3,26860,4/11/2262,7/1/2024,4/11/2262,7/1/2024,10/1/2024,12/31/2024
10/2/2024,SCG576740,PE,myAPP,26860,"Nguyen, Hale and Hill",9537 Frank Haven,Loveland,Kansas,70831,428-482-7544,0,,,,3,26860,4/11/2262,7/1/2024,4/11/2262,7/1/2024,10/1/2024,12/31/2024
10/2/2024,SCG075479,ACUALL,EGW,37915,Stevens-Carr,83472 Hall Glen,Hendersonville,Oklahoma,59051,001-387-372-8869x6812,1,,,,3,37915,4/11/2262,7/1/2024,4/11/2262,7/1/2024,10/1/2024,12/31/2024
10/2/2024,SCG534058,ACUALL,EGW,37915,"Brown, Miller and Benton",63289 Harris Ports Suite 165,Hendersonville,Georgia,54370,+1-692-364-8561x103,1,,,,3,37915,4/11/2262,7/1/2024,4/11/2262,7/1/2024,10/1/2024,12/31/2024
10/2/2024,SCG591315,ACUALL,EGW,37915,Curtis-Hinton,24887 Monroe Corners Suite 622,Hendersonville,Colorado,61516,307.587.4598x85048,1,,,,3,37915,4/11/2262,7/1/2024,4/11/2262,7/1/2024,10/1/2024,12/31/2024
10/2/2024,SCG352139,ACUALL,EGW,37915,"Pearson, Villanueva and Underwood",1660 Thomas Shoal,Hendersonville,Kentucky,92865,6427916847,1,,,,3,37915,4/11/2262,7/1/2024,4/11/2262,7/1/2024,10/1/2024,12/31/2024
10/2/2024,SCG529290,ACUALL,EGW,37915,"Howard, Williams and Griffin",60593 Karen Garden,Hendersonville,Tennessee,42371,(333)377-4513,1,,,,3,37915,4/11/2262,7/1/2024,4/11/2262,7/1/2024,10/1/2024,12/31/2024
10/2/2024,SCG867401,GPO,myAPP,31207,"Jackson, Frederick and Reyes",383 Davis Forges Suite 298,Douglasville,Illinois,56385,4839349126,0,Preferred,4/19/2021,7,3,31207,4/11/2262,7/1/2024,4/11/2262,7/1/2024,7/1/2024,12/31/2024
10/2/2024,SCG275690,ACUALL,PV,42275,"Hamilton, Matthews and Summers",116 Martinez Crossing Suite 767,Edwardsville,New Mexico,51359,+1-777-560-0799x20140,0,,,,1,42275,4/11/2262,7/1/2024,4/11/2262,7/1/2024,10/1/2024,12/31/2024
10/2/2024,SCG657090,ACUALL,PV,42275,Lester-King,0425 Heather Place Suite 690,Edwardsville,Virginia,48428,(432)471-6171x3888,0,,,,1,42275,4/11/2262,7/1/2024,4/11/2262,7/1/2024,10/1/2024,12/31/2024
